# Selection : patch(Inlet)
# Faces  :    118
# Area   :    3.020701e-04
# Time        	sum(phi)
11500         	-1.510351e-03
11501         	-1.510351e-03
11502         	-1.510351e-03
11503         	-1.510351e-03
11504         	-1.510351e-03
11505         	-1.510351e-03
11506         	-1.510351e-03
11507         	-1.510351e-03
11508         	-1.510351e-03
11509         	-1.510351e-03
11510         	-1.510351e-03
11511         	-1.510351e-03
11512         	-1.510351e-03
11513         	-1.510351e-03
11514         	-1.510351e-03
11515         	-1.510351e-03
11516         	-1.510351e-03
11517         	-1.510351e-03
11518         	-1.510351e-03
11519         	-1.510351e-03
11520         	-1.510351e-03
11521         	-1.510351e-03
11522         	-1.510351e-03
11523         	-1.510351e-03
11524         	-1.510351e-03
11525         	-1.510351e-03
11526         	-1.510351e-03
11527         	-1.510351e-03
11528         	-1.510351e-03
11529         	-1.510351e-03
11530         	-1.510351e-03
11531         	-1.510351e-03
11532         	-1.510351e-03
11533         	-1.510351e-03
11534         	-1.510351e-03
11535         	-1.510351e-03
11536         	-1.510351e-03
11537         	-1.510351e-03
11538         	-1.510351e-03
11539         	-1.510351e-03
11540         	-1.510351e-03
11541         	-1.510351e-03
11542         	-1.510351e-03
11543         	-1.510351e-03
11544         	-1.510351e-03
11545         	-1.510351e-03
11546         	-1.510351e-03
11547         	-1.510351e-03
11548         	-1.510351e-03
11549         	-1.510351e-03
11550         	-1.510351e-03
11551         	-1.510351e-03
11552         	-1.510351e-03
11553         	-1.510351e-03
11554         	-1.510351e-03
11555         	-1.510351e-03
11556         	-1.510351e-03
11557         	-1.510351e-03
11558         	-1.510351e-03
11559         	-1.510351e-03
11560         	-1.510351e-03
11561         	-1.510351e-03
11562         	-1.510351e-03
11563         	-1.510351e-03
11564         	-1.510351e-03
11565         	-1.510351e-03
11566         	-1.510351e-03
11567         	-1.510351e-03
11568         	-1.510351e-03
11569         	-1.510351e-03
11570         	-1.510351e-03
11571         	-1.510351e-03
11572         	-1.510351e-03
11573         	-1.510351e-03
11574         	-1.510351e-03
11575         	-1.510351e-03
11576         	-1.510351e-03
11577         	-1.510351e-03
11578         	-1.510351e-03
11579         	-1.510351e-03
11580         	-1.510351e-03
11581         	-1.510351e-03
11582         	-1.510351e-03
11583         	-1.510351e-03
11584         	-1.510351e-03
11585         	-1.510351e-03
11586         	-1.510351e-03
11587         	-1.510351e-03
11588         	-1.510351e-03
11589         	-1.510351e-03
11590         	-1.510351e-03
11591         	-1.510351e-03
11592         	-1.510351e-03
11593         	-1.510351e-03
11594         	-1.510351e-03
11595         	-1.510351e-03
11596         	-1.510351e-03
11597         	-1.510351e-03
11598         	-1.510351e-03
11599         	-1.510351e-03
11600         	-1.510351e-03
11601         	-1.510351e-03
11602         	-1.510351e-03
11603         	-1.510351e-03
11604         	-1.510351e-03
11605         	-1.510351e-03
11606         	-1.510351e-03
11607         	-1.510351e-03
11608         	-1.510351e-03
11609         	-1.510351e-03
11610         	-1.510351e-03
11611         	-1.510351e-03
11612         	-1.510351e-03
11613         	-1.510351e-03
11614         	-1.510351e-03
11615         	-1.510351e-03
11616         	-1.510351e-03
11617         	-1.510351e-03
11618         	-1.510351e-03
11619         	-1.510351e-03
11620         	-1.510351e-03
11621         	-1.510351e-03
11622         	-1.510351e-03
11623         	-1.510351e-03
11624         	-1.510351e-03
11625         	-1.510351e-03
11626         	-1.510351e-03
11627         	-1.510351e-03
11628         	-1.510351e-03
11629         	-1.510351e-03
11630         	-1.510351e-03
11631         	-1.510351e-03
11632         	-1.510351e-03
11633         	-1.510351e-03
11634         	-1.510351e-03
11635         	-1.510351e-03
11636         	-1.510351e-03
11637         	-1.510351e-03
11638         	-1.510351e-03
11639         	-1.510351e-03
11640         	-1.510351e-03
11641         	-1.510351e-03
11642         	-1.510351e-03
11643         	-1.510351e-03
11644         	-1.510351e-03
11645         	-1.510351e-03
11646         	-1.510351e-03
11647         	-1.510351e-03
11648         	-1.510351e-03
11649         	-1.510351e-03
11650         	-1.510351e-03
11651         	-1.510351e-03
11652         	-1.510351e-03
11653         	-1.510351e-03
11654         	-1.510351e-03
11655         	-1.510351e-03
11656         	-1.510351e-03
11657         	-1.510351e-03
11658         	-1.510351e-03
11659         	-1.510351e-03
11660         	-1.510351e-03
11661         	-1.510351e-03
11662         	-1.510351e-03
11663         	-1.510351e-03
11664         	-1.510351e-03
11665         	-1.510351e-03
11666         	-1.510351e-03
11667         	-1.510351e-03
11668         	-1.510351e-03
11669         	-1.510351e-03
11670         	-1.510351e-03
11671         	-1.510351e-03
11672         	-1.510351e-03
11673         	-1.510351e-03
11674         	-1.510351e-03
11675         	-1.510351e-03
11676         	-1.510351e-03
11677         	-1.510351e-03
11678         	-1.510351e-03
11679         	-1.510351e-03
11680         	-1.510351e-03
11681         	-1.510351e-03
11682         	-1.510351e-03
11683         	-1.510351e-03
11684         	-1.510351e-03
11685         	-1.510351e-03
11686         	-1.510351e-03
11687         	-1.510351e-03
11688         	-1.510351e-03
11689         	-1.510351e-03
11690         	-1.510351e-03
11691         	-1.510351e-03
11692         	-1.510351e-03
11693         	-1.510351e-03
11694         	-1.510351e-03
11695         	-1.510351e-03
11696         	-1.510351e-03
11697         	-1.510351e-03
11698         	-1.510351e-03
11699         	-1.510351e-03
11700         	-1.510351e-03
11701         	-1.510351e-03
11702         	-1.510351e-03
11703         	-1.510351e-03
11704         	-1.510351e-03
11705         	-1.510351e-03
11706         	-1.510351e-03
11707         	-1.510351e-03
11708         	-1.510351e-03
11709         	-1.510351e-03
11710         	-1.510351e-03
11711         	-1.510351e-03
11712         	-1.510351e-03
11713         	-1.510351e-03
11714         	-1.510351e-03
11715         	-1.510351e-03
11716         	-1.510351e-03
11717         	-1.510351e-03
11718         	-1.510351e-03
11719         	-1.510351e-03
11720         	-1.510351e-03
11721         	-1.510351e-03
11722         	-1.510351e-03
11723         	-1.510351e-03
11724         	-1.510351e-03
11725         	-1.510351e-03
11726         	-1.510351e-03
11727         	-1.510351e-03
11728         	-1.510351e-03
11729         	-1.510351e-03
11730         	-1.510351e-03
11731         	-1.510351e-03
11732         	-1.510351e-03
11733         	-1.510351e-03
11734         	-1.510351e-03
11735         	-1.510351e-03
11736         	-1.510351e-03
11737         	-1.510351e-03
11738         	-1.510351e-03
11739         	-1.510351e-03
11740         	-1.510351e-03
11741         	-1.510351e-03
11742         	-1.510351e-03
11743         	-1.510351e-03
11744         	-1.510351e-03
11745         	-1.510351e-03
11746         	-1.510351e-03
11747         	-1.510351e-03
11748         	-1.510351e-03
11749         	-1.510351e-03
11750         	-1.510351e-03
11751         	-1.510351e-03
11752         	-1.510351e-03
11753         	-1.510351e-03
11754         	-1.510351e-03
11755         	-1.510351e-03
11756         	-1.510351e-03
11757         	-1.510351e-03
11758         	-1.510351e-03
11759         	-1.510351e-03
11760         	-1.510351e-03
11761         	-1.510351e-03
11762         	-1.510351e-03
11763         	-1.510351e-03
11764         	-1.510351e-03
11765         	-1.510351e-03
11766         	-1.510351e-03
11767         	-1.510351e-03
11768         	-1.510351e-03
11769         	-1.510351e-03
11770         	-1.510351e-03
11771         	-1.510351e-03
11772         	-1.510351e-03
11773         	-1.510351e-03
11774         	-1.510351e-03
11775         	-1.510351e-03
11776         	-1.510351e-03
11777         	-1.510351e-03
11778         	-1.510351e-03
11779         	-1.510351e-03
11780         	-1.510351e-03
11781         	-1.510351e-03
11782         	-1.510351e-03
11783         	-1.510351e-03
11784         	-1.510351e-03
11785         	-1.510351e-03
11786         	-1.510351e-03
11787         	-1.510351e-03
11788         	-1.510351e-03
11789         	-1.510351e-03
11790         	-1.510351e-03
11791         	-1.510351e-03
11792         	-1.510351e-03
11793         	-1.510351e-03
11794         	-1.510351e-03
11795         	-1.510351e-03
11796         	-1.510351e-03
11797         	-1.510351e-03
11798         	-1.510351e-03
11799         	-1.510351e-03
11800         	-1.510351e-03
11801         	-1.510351e-03
11802         	-1.510351e-03
11803         	-1.510351e-03
11804         	-1.510351e-03
11805         	-1.510351e-03
11806         	-1.510351e-03
11807         	-1.510351e-03
11808         	-1.510351e-03
11809         	-1.510351e-03
11810         	-1.510351e-03
11811         	-1.510351e-03
11812         	-1.510351e-03
11813         	-1.510351e-03
11814         	-1.510351e-03
11815         	-1.510351e-03
11816         	-1.510351e-03
11817         	-1.510351e-03
11818         	-1.510351e-03
11819         	-1.510351e-03
11820         	-1.510351e-03
11821         	-1.510351e-03
11822         	-1.510351e-03
11823         	-1.510351e-03
11824         	-1.510351e-03
11825         	-1.510351e-03
11826         	-1.510351e-03
11827         	-1.510351e-03
11828         	-1.510351e-03
11829         	-1.510351e-03
11830         	-1.510351e-03
11831         	-1.510351e-03
11832         	-1.510351e-03
11833         	-1.510351e-03
11834         	-1.510351e-03
11835         	-1.510351e-03
11836         	-1.510351e-03
11837         	-1.510351e-03
11838         	-1.510351e-03
11839         	-1.510351e-03
11840         	-1.510351e-03
11841         	-1.510351e-03
11842         	-1.510351e-03
11843         	-1.510351e-03
11844         	-1.510351e-03
11845         	-1.510351e-03
11846         	-1.510351e-03
11847         	-1.510351e-03
11848         	-1.510351e-03
11849         	-1.510351e-03
11850         	-1.510351e-03
11851         	-1.510351e-03
11852         	-1.510351e-03
11853         	-1.510351e-03
11854         	-1.510351e-03
11855         	-1.510351e-03
11856         	-1.510351e-03
11857         	-1.510351e-03
11858         	-1.510351e-03
11859         	-1.510351e-03
11860         	-1.510351e-03
11861         	-1.510351e-03
11862         	-1.510351e-03
11863         	-1.510351e-03
11864         	-1.510351e-03
11865         	-1.510351e-03
11866         	-1.510351e-03
11867         	-1.510351e-03
11868         	-1.510351e-03
11869         	-1.510351e-03
11870         	-1.510351e-03
11871         	-1.510351e-03
11872         	-1.510351e-03
11873         	-1.510351e-03
11874         	-1.510351e-03
11875         	-1.510351e-03
11876         	-1.510351e-03
11877         	-1.510351e-03
11878         	-1.510351e-03
11879         	-1.510351e-03
11880         	-1.510351e-03
11881         	-1.510351e-03
11882         	-1.510351e-03
11883         	-1.510351e-03
11884         	-1.510351e-03
11885         	-1.510351e-03
11886         	-1.510351e-03
11887         	-1.510351e-03
11888         	-1.510351e-03
11889         	-1.510351e-03
11890         	-1.510351e-03
11891         	-1.510351e-03
11892         	-1.510351e-03
11893         	-1.510351e-03
11894         	-1.510351e-03
11895         	-1.510351e-03
11896         	-1.510351e-03
11897         	-1.510351e-03
11898         	-1.510351e-03
11899         	-1.510351e-03
11900         	-1.510351e-03
11901         	-1.510351e-03
11902         	-1.510351e-03
11903         	-1.510351e-03
11904         	-1.510351e-03
11905         	-1.510351e-03
11906         	-1.510351e-03
11907         	-1.510351e-03
11908         	-1.510351e-03
11909         	-1.510351e-03
11910         	-1.510351e-03
11911         	-1.510351e-03
11912         	-1.510351e-03
11913         	-1.510351e-03
11914         	-1.510351e-03
11915         	-1.510351e-03
11916         	-1.510351e-03
11917         	-1.510351e-03
11918         	-1.510351e-03
11919         	-1.510351e-03
11920         	-1.510351e-03
11921         	-1.510351e-03
11922         	-1.510351e-03
11923         	-1.510351e-03
11924         	-1.510351e-03
11925         	-1.510351e-03
11926         	-1.510351e-03
11927         	-1.510351e-03
11928         	-1.510351e-03
11929         	-1.510351e-03
11930         	-1.510351e-03
11931         	-1.510351e-03
11932         	-1.510351e-03
11933         	-1.510351e-03
11934         	-1.510351e-03
11935         	-1.510351e-03
11936         	-1.510351e-03
11937         	-1.510351e-03
11938         	-1.510351e-03
11939         	-1.510351e-03
11940         	-1.510351e-03
11941         	-1.510351e-03
11942         	-1.510351e-03
11943         	-1.510351e-03
11944         	-1.510351e-03
11945         	-1.510351e-03
11946         	-1.510351e-03
11947         	-1.510351e-03
11948         	-1.510351e-03
11949         	-1.510351e-03
11950         	-1.510351e-03
11951         	-1.510351e-03
11952         	-1.510351e-03
11953         	-1.510351e-03
11954         	-1.510351e-03
11955         	-1.510351e-03
11956         	-1.510351e-03
11957         	-1.510351e-03
11958         	-1.510351e-03
11959         	-1.510351e-03
11960         	-1.510351e-03
11961         	-1.510351e-03
11962         	-1.510351e-03
11963         	-1.510351e-03
11964         	-1.510351e-03
11965         	-1.510351e-03
11966         	-1.510351e-03
11967         	-1.510351e-03
11968         	-1.510351e-03
11969         	-1.510351e-03
11970         	-1.510351e-03
11971         	-1.510351e-03
11972         	-1.510351e-03
11973         	-1.510351e-03
11974         	-1.510351e-03
11975         	-1.510351e-03
11976         	-1.510351e-03
11977         	-1.510351e-03
11978         	-1.510351e-03
11979         	-1.510351e-03
11980         	-1.510351e-03
11981         	-1.510351e-03
11982         	-1.510351e-03
11983         	-1.510351e-03
11984         	-1.510351e-03
11985         	-1.510351e-03
11986         	-1.510351e-03
11987         	-1.510351e-03
11988         	-1.510351e-03
11989         	-1.510351e-03
11990         	-1.510351e-03
11991         	-1.510351e-03
11992         	-1.510351e-03
11993         	-1.510351e-03
11994         	-1.510351e-03
11995         	-1.510351e-03
11996         	-1.510351e-03
11997         	-1.510351e-03
11998         	-1.510351e-03
11999         	-1.510351e-03
12000         	-1.510351e-03
12001         	-1.510351e-03
12002         	-1.510351e-03
12003         	-1.510351e-03
12004         	-1.510351e-03
12005         	-1.510351e-03
12006         	-1.510351e-03
12007         	-1.510351e-03
12008         	-1.510351e-03
12009         	-1.510351e-03
12010         	-1.510351e-03
12011         	-1.510351e-03
12012         	-1.510351e-03
12013         	-1.510351e-03
12014         	-1.510351e-03
12015         	-1.510351e-03
12016         	-1.510351e-03
12017         	-1.510351e-03
12018         	-1.510351e-03
12019         	-1.510351e-03
12020         	-1.510351e-03
12021         	-1.510351e-03
12022         	-1.510351e-03
12023         	-1.510351e-03
12024         	-1.510351e-03
12025         	-1.510351e-03
12026         	-1.510351e-03
12027         	-1.510351e-03
12028         	-1.510351e-03
12029         	-1.510351e-03
12030         	-1.510351e-03
12031         	-1.510351e-03
12032         	-1.510351e-03
12033         	-1.510351e-03
12034         	-1.510351e-03
12035         	-1.510351e-03
12036         	-1.510351e-03
12037         	-1.510351e-03
12038         	-1.510351e-03
12039         	-1.510351e-03
12040         	-1.510351e-03
12041         	-1.510351e-03
12042         	-1.510351e-03
12043         	-1.510351e-03
12044         	-1.510351e-03
12045         	-1.510351e-03
12046         	-1.510351e-03
12047         	-1.510351e-03
12048         	-1.510351e-03
12049         	-1.510351e-03
12050         	-1.510351e-03
12051         	-1.510351e-03
12052         	-1.510351e-03
12053         	-1.510351e-03
12054         	-1.510351e-03
12055         	-1.510351e-03
12056         	-1.510351e-03
12057         	-1.510351e-03
12058         	-1.510351e-03
12059         	-1.510351e-03
12060         	-1.510351e-03
12061         	-1.510351e-03
12062         	-1.510351e-03
12063         	-1.510351e-03
12064         	-1.510351e-03
12065         	-1.510351e-03
12066         	-1.510351e-03
12067         	-1.510351e-03
12068         	-1.510351e-03
12069         	-1.510351e-03
12070         	-1.510351e-03
12071         	-1.510351e-03
12072         	-1.510351e-03
12073         	-1.510351e-03
12074         	-1.510351e-03
12075         	-1.510351e-03
12076         	-1.510351e-03
12077         	-1.510351e-03
12078         	-1.510351e-03
12079         	-1.510351e-03
12080         	-1.510351e-03
12081         	-1.510351e-03
12082         	-1.510351e-03
12083         	-1.510351e-03
12084         	-1.510351e-03
12085         	-1.510351e-03
12086         	-1.510351e-03
12087         	-1.510351e-03
12088         	-1.510351e-03
12089         	-1.510351e-03
12090         	-1.510351e-03
12091         	-1.510351e-03
12092         	-1.510351e-03
12093         	-1.510351e-03
12094         	-1.510351e-03
12095         	-1.510351e-03
12096         	-1.510351e-03
12097         	-1.510351e-03
12098         	-1.510351e-03
12099         	-1.510351e-03
12100         	-1.510351e-03
12101         	-1.510351e-03
12102         	-1.510351e-03
12103         	-1.510351e-03
12104         	-1.510351e-03
12105         	-1.510351e-03
12106         	-1.510351e-03
12107         	-1.510351e-03
12108         	-1.510351e-03
12109         	-1.510351e-03
12110         	-1.510351e-03
12111         	-1.510351e-03
12112         	-1.510351e-03
12113         	-1.510351e-03
12114         	-1.510351e-03
12115         	-1.510351e-03
12116         	-1.510351e-03
12117         	-1.510351e-03
12118         	-1.510351e-03
12119         	-1.510351e-03
12120         	-1.510351e-03
12121         	-1.510351e-03
12122         	-1.510351e-03
12123         	-1.510351e-03
12124         	-1.510351e-03
12125         	-1.510351e-03
12126         	-1.510351e-03
12127         	-1.510351e-03
12128         	-1.510351e-03
12129         	-1.510351e-03
12130         	-1.510351e-03
12131         	-1.510351e-03
12132         	-1.510351e-03
12133         	-1.510351e-03
12134         	-1.510351e-03
12135         	-1.510351e-03
12136         	-1.510351e-03
12137         	-1.510351e-03
12138         	-1.510351e-03
12139         	-1.510351e-03
12140         	-1.510351e-03
12141         	-1.510351e-03
12142         	-1.510351e-03
12143         	-1.510351e-03
12144         	-1.510351e-03
12145         	-1.510351e-03
12146         	-1.510351e-03
12147         	-1.510351e-03
12148         	-1.510351e-03
12149         	-1.510351e-03
12150         	-1.510351e-03
12151         	-1.510351e-03
12152         	-1.510351e-03
12153         	-1.510351e-03
12154         	-1.510351e-03
12155         	-1.510351e-03
12156         	-1.510351e-03
12157         	-1.510351e-03
12158         	-1.510351e-03
12159         	-1.510351e-03
12160         	-1.510351e-03
12161         	-1.510351e-03
12162         	-1.510351e-03
12163         	-1.510351e-03
12164         	-1.510351e-03
12165         	-1.510351e-03
12166         	-1.510351e-03
12167         	-1.510351e-03
12168         	-1.510351e-03
12169         	-1.510351e-03
12170         	-1.510351e-03
12171         	-1.510351e-03
12172         	-1.510351e-03
12173         	-1.510351e-03
12174         	-1.510351e-03
12175         	-1.510351e-03
12176         	-1.510351e-03
12177         	-1.510351e-03
12178         	-1.510351e-03
