# Selection : patch(Outlet)
# Faces  :    118
# Area   :    3.020705e-04
# Time        	areaAverage(p)
0             	1.016298e+02
500           	1.016298e+02
1000          	1.016298e+02
1500          	1.016298e+02
2000          	1.016298e+02
2500          	1.016298e+02
3000          	1.016298e+02
3500          	1.016298e+02
4000          	1.016298e+02
4500          	1.016298e+02
5000          	1.016298e+02
5500          	1.016298e+02
6000          	1.016298e+02
6500          	1.016298e+02
7000          	1.016298e+02
7500          	1.016298e+02
8000          	1.016298e+02
8500          	1.016298e+02
9000          	1.016298e+02
9500          	1.016298e+02
10000         	1.016298e+02
10500         	1.016298e+02
11000         	1.016298e+02
11500         	1.016298e+02
